strategy,bots,duration_s,total,blocked,allowed,block_rate,rps_total,rps_blocked,avg_lat_ms,p50_s,p95_s,p99_s
rate_limit,3,90,2677,2060,617,0.7789,18.9913,16.4716,3.049,0.002700,0.007813,0.017645
rules,3,90,1686,1566,120,0.9290,18.4038,16.8200,2.356,0.002679,0.006920,0.021381
ml,3,90,1701,1509,192,0.8874,18.6828,16.3942,4.561,0.003810,0.010985,0.022151
llm,3,150,321,0,321,0.0000,2.6600,NaN,9664.590,7.112500,10.000000,10.000000
ml,1,90,925,802,123,0.8677,6.1598,5.5999,3.712,0.003974,0.009473,0.013250
ml,5,90,2887,2403,484,0.8329,30.7072,27.9073,4.904,0.003774,0.013234,0.022685
ml,10,90,5721,4993,728,0.8731,61.3200,55.8533,4.573,0.003528,0.015796,0.034690
